Reference Number,DOI
097,10.1016/j.apcatb.2018.06.029.
098,10.1016/j.ijhydene.2012.02.102.
099,10.3390/w12020495.
100,10.1016/j.biortech.2009.07.089.
101,10.1007/s00253-010-2645-9.
102,10.1016/j.bioelechem.2019.04.019.
103,10.1016/j.ijhydene.2018.11.145.
104,10.1039/C5RA09170E.
105,10.1016/j.ijhydene.2014.05.008.
106,10.1016/j.bios.2016.02.054.
107,10.1016/j.biortech.2012.02.116.
108,10.1007/s00449-014-1148-y.
109,10.1016/j.ijhydene.2015.06.025.
110,10.1021/nn204656d.
111,10.1016/j.biortech.2012.03.118.
112,10.1016/j.crcon.2019.06.003.
113,10.1016/j.biortech.2011.12.058.
114,10.1016/j.jpowsour.2012.02.036.
115,10.1016/j.jpowsour.2014.11.127.
116,10.1002/cssc.201700851.
117,10.1039/C7EE00910K.
118,10.1016/j.electacta.2013.08.022.
119,10.1016/j.jpowsour.2012.09.091.
120,10.1039/C5AY00976F.
121,10.1002/marc.201400332.
122,10.1016/j.enzmictec.2012.07.008.
123,10.1016/j.jpowsour.2009.05.018.
124,10.1021/es800775d.
125,10.1021/es900997w.
126,10.2166/wst.2009.007.
127,10.1016/j.electacta.2007.06.069.
128,10.1016/j.elecom.2006.01.010.
129,10.1007/s00449-009-0312-2.
130,10.1016/j.watres.2004.11.019.
131,10.1021/es062580r.
132,10.1021/es0709831.
133,10.1002/fuce.200900023.
134,
135,10.1128/AEM.02912-09.
136,10.1016/j.jclepro.2019.05.040.
137,10.1007/s00449-017-1822-y.
138,
139,10.1016/j.biortech.2015.06.058.
140,10.1002/jobm.201400157.
141,10.1002/er.3804.
142,10.1016/j.jpowsour.2012.01.013.
143,10.1016/j.jpowsour.2017.05.099.
144,10.1016/j.biortech.2013.04.050.
145,10.1016/j.jhazmat.2016.06.041.
146,10.1016/j.bios.2014.12.047.
147,
148,10.1016/j.bioelechem.2019.01.007.
149,10.1016/j.apenergy.2019.05.043.
150,10.1002/er.3706.
151,10.3389/fmicb.2018.03348.
152,10.1002/cssc.201600573.
153,
154,10.1016/j.cej.2018.12.105.
155,10.1016/j.bej.2018.12.016.
156,10.1016/j.jpowsour.2011.02.067.
157,10.1016/j.indcrop.2018.10.070.
158,10.1016/j.apenergy.2017.10.075.
159,10.1016/j.biortech.2011.01.057.
160,10.1016/j.jhazmat.2011.02.018.
161,10.4014/jmb.1008.08019.
162,10.4172/2155-6199.1000190.
163,10.1021/es304606u.
164,10.1016/j.biortech.2013.01.143.
165,10.1016/j.apenergy.2013.01.012.
166,10.1016/j.biortech.2012.11.011.
167,10.1016/j.watres.2013.10.062.
168,10.1016/j.biortech.2019.03.080.
169,
170,10.1016/j.jscs.2018.08.003.
171,10.1021/es900057f.
172,10.1016/j.cej.2010.03.032.
173,10.1016/j.biortech.2010.01.114.
174,10.1016/j.biortech.2009.11.107.
175,10.1016/j.biortech.2010.01.133.
176,10.1016/j.watres.2010.07.059.
177,10.1007/s10529-012-1002-8.
178,10.1016/j.ibiod.2012.04.010.
179,10.1016/j.biortech.2012.12.063.
180,10.1039/C5NJ00541H.
181,10.1016/j.biortech.2018.06.035.
182,10.3390/ma9100807.
183,10.1039/C8RA01711E.
184,10.1002/er.3780.
185,10.1016/j.jpowsour.2011.01.012.
186,10.1016/j.scitotenv.2018.05.136.
